payroll_id,emp_id,pay_period,gross_pay,net_pay,tax_withheld
f1cb67262e37ed4c,f1cb67262e37ed4c,pay_period_0,gross_pay_0,net_pay_0,tax_withheld_0
d2f3325d50758b11,d2f3325d50758b11,pay_period_1,gross_pay_1,net_pay_1,tax_withheld_1
980f4a6189ba0b0c,980f4a6189ba0b0c,pay_period_2,gross_pay_2,net_pay_2,tax_withheld_2
24bd09c80b080ad0,24bd09c80b080ad0,pay_period_3,gross_pay_3,net_pay_3,tax_withheld_3
417f477ab3d93a53,417f477ab3d93a53,pay_period_4,gross_pay_4,net_pay_4,tax_withheld_4
01b52fe7579d75af,01b52fe7579d75af,pay_period_5,gross_pay_5,net_pay_5,tax_withheld_5
07ee66018854257f,07ee66018854257f,pay_period_6,gross_pay_6,net_pay_6,tax_withheld_6
3996ca1508fed071,3996ca1508fed071,pay_period_7,gross_pay_7,net_pay_7,tax_withheld_7
be318b1897dca821,be318b1897dca821,pay_period_8,gross_pay_8,net_pay_8,tax_withheld_8
1d5a3df7f09ebeca,1d5a3df7f09ebeca,pay_period_9,gross_pay_9,net_pay_9,tax_withheld_9
871003abf7ddeade,871003abf7ddeade,pay_period_10,gross_pay_10,net_pay_10,tax_withheld_10
04307a1fc8deefdd,04307a1fc8deefdd,pay_period_11,gross_pay_11,net_pay_11,tax_withheld_11
57dfb0c8543972d4,57dfb0c8543972d4,pay_period_12,gross_pay_12,net_pay_12,tax_withheld_12
168d4af6c2c2072c,168d4af6c2c2072c,pay_period_13,gross_pay_13,net_pay_13,tax_withheld_13
ee769870a7865651,ee769870a7865651,pay_period_14,gross_pay_14,net_pay_14,tax_withheld_14
03d65c364bf0abcc,03d65c364bf0abcc,pay_period_15,gross_pay_15,net_pay_15,tax_withheld_15
18591623f590931f,18591623f590931f,pay_period_16,gross_pay_16,net_pay_16,tax_withheld_16
8a0c4f12f9a29ee8,8a0c4f12f9a29ee8,pay_period_17,gross_pay_17,net_pay_17,tax_withheld_17
16b3b2b6d638efc3,16b3b2b6d638efc3,pay_period_18,gross_pay_18,net_pay_18,tax_withheld_18
f4cc325110b44398,f4cc325110b44398,pay_period_19,gross_pay_19,net_pay_19,tax_withheld_19
0fafa3e497a18e1e,0fafa3e497a18e1e,pay_period_20,gross_pay_20,net_pay_20,tax_withheld_20
eaeaff01a28f33a5,eaeaff01a28f33a5,pay_period_21,gross_pay_21,net_pay_21,tax_withheld_21
10da0f65219d36e9,10da0f65219d36e9,pay_period_22,gross_pay_22,net_pay_22,tax_withheld_22
f05eaa221fea7f57,f05eaa221fea7f57,pay_period_23,gross_pay_23,net_pay_23,tax_withheld_23
4b176e8a1d6ba728,4b176e8a1d6ba728,pay_period_24,gross_pay_24,net_pay_24,tax_withheld_24
1de704073c49f191,1de704073c49f191,pay_period_25,gross_pay_25,net_pay_25,tax_withheld_25
6357a03d6fd790e6,6357a03d6fd790e6,pay_period_26,gross_pay_26,net_pay_26,tax_withheld_26
450110e4471072e1,450110e4471072e1,pay_period_27,gross_pay_27,net_pay_27,tax_withheld_27
7ee9f49f2b5d40a2,7ee9f49f2b5d40a2,pay_period_28,gross_pay_28,net_pay_28,tax_withheld_28
89eae9f8f3441c06,89eae9f8f3441c06,pay_period_29,gross_pay_29,net_pay_29,tax_withheld_29
53f7fcadc201cace,53f7fcadc201cace,pay_period_30,gross_pay_30,net_pay_30,tax_withheld_30
